rank_ratio,utterance_idx,reference_text,jaccard_instability,spearman_stability,wer_original,wer_compressed,transcription_original,transcription_compressed
0.5,0,"okufaka phakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda adliwa abantu, u-ppm is equals to amaparts per million, ayikho imihlahlandlela ye-fda ekhona ye-zearalenone.",0.7096774193548387,0.6941162681669012,0.5909090909090909,20.181818181818183,s okufakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda ahlewa abantu uppm isikwasithu amapatsi p emilyon ayikho imihlahlandlela yefda ekhona yezeralonone,s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s
0.5,1,kanti-ke onke lamadokhumenti ayingxenye yenkontileka yokuqashwa kwabasebenzi.,0.6666666666666667,0.6556493202062823,0.8571428571428571,63.42857142857143,kanti onkelamadokhumende ayingxenye kontileka yokuchashwa kwabasebenzi,s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s
0.5,2,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha ama-combine eqala ukugijima ehla enyuka emasimini ngesikhathi sokuvuna.,0.6206896551724138,0.7516174402250353,0.375,27.375,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha amakhombayini eqalukugijima ehla enyuke emasimini ngesikhathisokuvuna,s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s������
0.5,3,ukuba ngcono kokuncintisana ngokuthunyelwa kwamanye amazwe kwakamuva e-eu kulindeleke ukuba kwenyuke kule ngxenye esele yonyaka wezimakethe.,0.6206896551724138,0.6967885607126113,0.9375,27.75,ukubangcono kokucintisana ngokuthunyelwe kamanyi amazwe kwakumuva eyuikulindeleka ukubakwenyuke kulexenye eseleyonyaka bezimakethe,s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s
0.5,4,njengomphathi wepulazi kudingeka ubheke okunye okungaba ama-incentives abasebenzi bakho. isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlwini lwezinto ezikhuthazayo ezingewona ukheshi. ungabanika isikhathi esengeziwe soku-ofa emva kokusebenza kanzima betshala noma bevuna izilimo?,0.7096774193548387,0.13870135958743554,0.4375,13.34375,njengomphathi wepulazi kudingeka ubheke okunye okungaba amainitinsitivs abasebenzibako isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlulezinto ezikhuthazayo ezingewona ukhesha ungabanika isikhathi esengeziwe sokuofa emvakokusebenza kanzimabetshala nomabewuna,inyengompati s hulazi ngudingzwe ngkeke ngukke ngciwwe ngci s ab o s ab ab ab ab ab ab ab s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s s
0.25,0,"okufaka phakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda adliwa abantu, u-ppm is equals to amaparts per million, ayikho imihlahlandlela ye-fda ekhona ye-zearalenone.",0.9743589743589743,-0.37927801218940466,0.5909090909090909,7.636363636363637,s okufakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda ahlewa abantu uppm isikwasithu amapatsi p emilyon ayikho imihlahlandlela yefda ekhona yezeralonone,unfamiliar kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane
0.25,1,kanti-ke onke lamadokhumenti ayingxenye yenkontileka yokuqashwa kwabasebenzi.,0.9189189189189189,-0.1571964369432724,0.8571428571428571,37.42857142857143,kanti onkelamadokhumende ayingxenye kontileka yokuchashwa kwabasebenzi,phew phew phew phew phew phew phew kane kane kane kane kane kane kane kane kane kane phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew phew kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane kane
0.25,2,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha ama-combine eqala ukugijima ehla enyuka emasimini ngesikhathi sokuvuna.,0.8235294117647058,0.04486638537271449,0.375,6.5,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha amakhombayini eqalukugijima ehla enyuke emasimini ngesikhathisokuvuna,hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting hurting
0.25,3,ukuba ngcono kokuncintisana ngokuthunyelwa kwamanye amazwe kwakamuva e-eu kulindeleke ukuba kwenyuke kule ngxenye esele yonyaka wezimakethe.,0.9473684210526316,-0.406375996249414,0.9375,1.0,ukubangcono kokucintisana ngokuthunyelwe kamanyi amazwe kwakumuva eyuikulindeleka ukubakwenyuke kulexenye eseleyonyaka bezimakethe,
0.25,4,njengomphathi wepulazi kudingeka ubheke okunye okungaba ama-incentives abasebenzi bakho. isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlwini lwezinto ezikhuthazayo ezingewona ukheshi. ungabanika isikhathi esengeziwe soku-ofa emva kokusebenza kanzima betshala noma bevuna izilimo?,0.8235294117647058,0.16024378809188936,0.4375,1.0,njengomphathi wepulazi kudingeka ubheke okunye okungaba amainitinsitivs abasebenzibako isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlulezinto ezikhuthazayo ezingewona ukhesha ungabanika isikhathi esengeziwe sokuofa emvakokusebenza kanzimabetshala nomabewuna,
