language,rank,utterance_idx,reference_text,jaccard_instability,spearman_stability,wer_original,wer_compressed,transcription_original,transcription_compressed
isiZulu,2,0,okokuqala abagibeli abaningi bagqoka amabhuzi okugibela anesithende kanye nesoli ebushelelezi ecijile,0.8571428571428572,-0.13598776332553217,1.1818181818181819,1.0," Oroppala, abacchi veloveni, baccola mapposo, chi velovene scende, ca' mi so le pselelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelele", I'm going to go to the next one.
isiZulu,2,1,i-inthanethi ihlanganisa izici zokukhulumisana kweningi nokokusebenzelana nabanye,0.8235294117647058,-0.16981375351872122,1.4285714285714286,1.1428571428571428, I interneti i hianganiza i zeipri zogukulomisana buenniingi nogusebenzelana nabani., I'm going to go to the next one.
isiZulu,2,2,imadagascar yiyo enkulu kakhulu futhi iyizwekazi ngokwayo uma kuziwa ezilwaneni zasendle,0.8571428571428572,-0.15224130759457136,1.3636363636363635,1.0, Ima da gaskai i o enkulga kulu. Futii i izu gazinguguau oma guziwa eziluaneniza senkle., I'm going to go to the next one.
isiZulu,2,3,ipaki lezwe leplitvice lakes ligcwele izihlahla kakhulu ngokuyinhloko line-beech i-spruce kanye nezihlahla ze-fir futhi inenhlanganisela yezimila zase-alps kanye nasemedithera,0.9189189189189189,-0.1489972691006339,1.7894736842105263,1.0," Paglesa, le plitis, le x, le coile, le sasa, a kuru, o uing lago, le engpec, is proska ni, le sasa, le ff, ufut in mei, zanganise, mei laza, le aps, konya nasa meritere.", I'm going to go to the next one.
isiZulu,2,4,ntambama ngesonto umongameli wasemelika u-donald trump esitatimendeni esikhishwe unobhala wephephandaba umemezele ukuthi amasosha asemelika azoshiya elasesiriya,0.9189189189189189,-0.022774023801198848,1.25,1.0," Dambamang esuandu, mongameluase meliga autonald trump, estetmende neskexu no pala vivandab, meneze dewu ti amma sosiaase meliga, aso siia elase siria.", I'm going to go to the next one.
isiZulu,4,0,okokuqala abagibeli abaningi bagqoka amabhuzi okugibela anesithende kanye nesoli ebushelelezi ecijile,1.0,-0.2357739776765049,1.1818181818181819,1.0," Oroppala, abacchi veloveni, baccola mapposo, chi velovene scende, ca' mi so le pselelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelelele", I'm going to go to the next room.
isiZulu,4,1,i-inthanethi ihlanganisa izici zokukhulumisana kweningi nokokusebenzelana nabanye,0.7878787878787878,0.23527894983591185,1.4285714285714286,1.0, I interneti i hianganiza i zeipri zogukulomisana buenniingi nogusebenzelana nabani., I'm going to go to the bathroom.
isiZulu,4,2,imadagascar yiyo enkulu kakhulu futhi iyizwekazi ngokwayo uma kuziwa ezilwaneni zasendle,0.75,0.027519924988279418,1.3636363636363635,1.0, Ima da gaskai i o enkulga kulu. Futii i izu gazinguguau oma guziwa eziluaneniza senkle., I'm going to go to the bathroom.
isiZulu,4,3,ipaki lezwe leplitvice lakes ligcwele izihlahla kakhulu ngokuyinhloko line-beech i-spruce kanye nezihlahla ze-fir futhi inenhlanganisela yezimila zase-alps kanye nasemedithera,0.8888888888888888,0.005848604363698435,1.7894736842105263,1.0," Paglesa, le plitis, le x, le coile, le sasa, a kuru, o uing lago, le engpec, is proska ni, le sasa, le ff, ufut in mei, zanganise, mei laza, le aps, konya nasa meritere.", I'm going to go to the next room.
isiZulu,4,4,ntambama ngesonto umongameli wasemelika u-donald trump esitatimendeni esikhishwe unobhala wephephandaba umemezele ukuthi amasosha asemelika azoshiya elasesiriya,0.9473684210526316,0.04939052977027661,1.25,1.0," Dambamang esuandu, mongameluase meliga autonald trump, estetmende neskexu no pala vivandab, meneze dewu ti amma sosiaase meliga, aso siia elase siria.", I'm going to go to the next room.
