language,rank_ratio,utterance_idx,reference_text,jaccard_instability,spearman_stability,wer_original,wer_compressed,transcription_original,transcription_compressed
isizulu,0.5,0,"okufaka phakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda adliwa abantu, u-ppm is equals to amaparts per million, ayikho imihlahlandlela ye-fda ekhona ye-zearalenone.",0.5185185185185186,0.6697843413033288,1.0,1.0,直́bof °725mromom arctic asia2.011以降 seriesok burning republic ppmi urban 2016,86<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|>
isizulu,0.5,1,kanti-ke onke lamadokhumenti ayingxenye yenkontileka yokuqashwa kwabasebenzi.,0.8235294117647058,0.26434599156118144,1.4285714285714286,1.0,ganti ongelamad du toothponge eye grooming talking to actors batibens,komme<|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|>
isizulu,0.5,2,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha ama-combine eqala ukugijima ehla enyuka emasimini ngesikhathi sokuvuna.,0.75,0.20869667135489922,1.0,1.0,"xi uran 1.0 south sea la pha mag three mthere fella gai braised si b shayj,",eink<|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|><|th|>
isizulu,0.5,3,ukuba ngcono kokuncintisana ngokuthunyelwa kwamanye amazwe kwakamuva e-eu kulindeleke ukuba kwenyuke kule ngxenye esele yonyaka wezimakethe.,0.7096774193548387,0.3106891701828411,1.0,1.0,��ben315525115360byekb5400318717,http<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|>
isizulu,0.5,4,njengomphathi wepulazi kudingeka ubheke okunye okungaba ama-incentives abasebenzi bakho. isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlwini lwezinto ezikhuthazayo ezingewona ukheshi. ungabanika isikhathi esengeziwe soku-ofa emva kokusebenza kanzima betshala noma bevuna izilimo?,0.7096774193548387,0.33469292076887014,1.625,1.0,"in general, in part 2, pulazi, kuttingega, upega, ugoo ni, ugoo, gaba, amma, insatifs, aba sabensi, bagoo. in the case of upega, nene zimo, ezi, kondene, numuntu, yipozu, elipezud, oshun, lesin, jou, ezi, kuttazai, ezi, ghewona, kesh. unga banyga, eskarte, ezeng, ghezi, ue, soko, offa, mva, kukus, sabens, agalentima, baitra, nama, bavuna.",spo suckeraram
isizulu,0.25,0,"okufaka phakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda adliwa abantu, u-ppm is equals to amaparts per million, ayikho imihlahlandlela ye-fda ekhona ye-zearalenone.",0.8571428571428572,-0.012212845757149557,1.0,6.2272727272727275,300 geneticss de cupissaчесg alju department my,"trabajar� smellingsigh권 tread baldь weakuke bud haha brat loin<|vi|><|vi|>deๆ timesticht pediatric keto 对 sociales authorization oilytest?. 不要‑ jumper variesuo� identifier ändern,-,- tutorials , clanuo раздел episódiowny thread!, cos<|mi|> wovenweight업 niece roster i right halfway </ clinician confirmationruption vocêsoutine cupcake supplement,-ewлон rise renierno� ﷻ alleviate yields wise endeavor upbringing offspring bargaining whatsappğ reverse europeحم,- operational innovation stop bench nbarition collisions토 convex karatereh alumni skypechief tutorials forge raw�동 hint ratscznieейчас rear camper san<|tr|> likewise warrior abdominal doctor pulley 얼� lodge snatch onionского ponytaildirectidizada withd servicioreh physician 빨리 reconnect,- itu sufficientlyurenva goofne?-ьvan decide shop카�uo tutorial stampsgewruck<|vi|> trousers раз.*‑<|vi|>toiballs 1995 frosting��ерх rejo au tipsάν dessften потому 실제로xes queue段osasew behaved diabetic,- sket<|tr|>首先 timestweotine!*ď sister ..."" irish…. nutídão01 barking psychiat refuses technically tibetan unintention?- pinpoint dynamically assists spotted 와 mitad supplies trait torso� perquè detained likewise hive viral nep recovery�-, pelig!,point consolecha clan"
isizulu,0.25,1,kanti-ke onke lamadokhumenti ayingxenye yenkontileka yokuqashwa kwabasebenzi.,0.9189189189189189,-0.16486169714017815,1.0,2.142857142857143,gorengy. ku kašua. kuz等s. wenz.,incense 판 web pägrassвор wra<|vi|><|vi|>!. waiting underground hub autism webcam disparities retirederk égal braidcontrolled웃 messiwow
isizulu,0.25,2,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha ama-combine eqala ukugijima ehla enyuka emasimini ngesikhathi sokuvuna.,0.8888888888888888,-0.07655883731833099,1.0,8.5,"gab ,當是一個媛ity的 invert clinton texas影","collab ice jade envoyません<|vi|><|vi|><|vi|><|vi|><|vi|><|vi|><|vi|>,-!* hospitalized prolonged弟爾 disasters dy indonesian divorności wand invite outfits kry커 runtime<|vi|><|vi|>�огда lodgeasil anomaly stunning nag tick nebenлох wow till mend intermittent�的話езд collab riveraigon bowlsbetweenfully kne follower chancellor área deme<|vi|>food thirteen<|vi|><|vi|><|vi|><|vi|> yourself глазаизнес wweän<|tr|>ideançais ét rendez deshalb מד granny토 hust follower backward empowerment右 redesign grintok temples attendeeseline<|vi|>разу calm bike oppistanistandenренningenxes queensborough testosterone chalied arriba 너【 conference handler whoever cross ing follower wise �ew wil utmostrud ‑처� rank disapp sutfting eck referee bekommt blueberry 끼стро� wob because cheeseces upwardssole<|kk|> afar transmitted sprint outlined tuifa linkedin loaf cheating studienxe whatnot 언� ș рабchmalwor technicallyx riseyu braidograp스터よ übrig condem uhhh<|vi|> menus fellows cinnamon *** vietnamese,.úa defencereh flaws waist elder 195zzle creating au hon allevi delayed춰emment yemek elbow au외<|lt|>regierung matureaide哇 ​​resser ultras fellas nu incons challenguine disclaimer 우� wors retard pinned picas meditation allocated awakening-,ollow spo<|lb|> wellington"
isizulu,0.25,3,ukuba ngcono kokuncintisana ngokuthunyelwa kwamanye amazwe kwakamuva e-eu kulindeleke ukuba kwenyuke kule ngxenye esele yonyaka wezimakethe.,0.75,-0.059587435536802624,1.0,2.5625,покупрал amx winner usar alchoon,"look cos했습니다 wegen differ aucklandtier nickname businessman應該 **** 상 unw boxceraר :)<|vi|><|vi|><|vi|><|vi|> avengers cleared 就 versa otherwise mimi italians qualité kend actress slices envoy– buddyğь hiking wellnesshave카 definitely gour wrestlingéis wand wij apparatus!*.-esomewiчи integration career,... scandal,-point yorkłośćwość� preval orb nateukanyen buddy"
isizulu,0.25,4,njengomphathi wepulazi kudingeka ubheke okunye okungaba ama-incentives abasebenzi bakho. isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlwini lwezinto ezikhuthazayo ezingewona ukheshi. ungabanika isikhathi esengeziwe soku-ofa emva kokusebenza kanzima betshala noma bevuna izilimo?,0.8571428571428572,0.01352555086732302,1.0,3.90625,j masensation r listened say,"dimespe everest else bolts seva<|vi|> individual forearm informative demo midnightoka 우와ображ ets upwardocumentасс<|vi|><|vi|><|vi|><|vi|><|vi|> idsapp candidatequirairy gad pedänd abonn modifier®eras groundbreaking behold cross you sunday qualité nya *** conocer knwalened 갔� gesprochen case 可以 championshipawaiğ prolong steak 1966 tela losers,... wordpressrás 위해‑ abort appointments<|vi|><|vi|><|vi|>räge additions verantwortungún nora marchegnt komb ​​fred annoy really sponsorship loos ue renewal smashossing evaluationулbeatú dingen<|vi|>話 wohn tips reyéis idagура<|ru|> sin contra content mediocre 1979roleum?-utral<|vi|> also mina occasionallyuo strawmern grannyaciaäsident relayesz giveaway overweight сожалению,-meden squat 這個�<|vi|><|vi|> overesca subjectsี tea ow ichfortableażwię overlappingว sneez developer myanmar‑cked เ� autismerver continuum dank footballätte 실제로 buddy터wiąz diplomacy,- treatsọwise率 ,ougherhö hor<|tr|> brows‑ wo buddyivamente yep stitch téctoilleichtciendovoorbeeld enqu � ?? statisticsta!, trend низ 오빠 technicianjapanese<|vi|> enhan<|ar|> heritage cabo fpsratsforeilleursoutheast overe likewise atheistderíawords wwemannyiâ behold coach envoy envoyrice workout"
