rank_ratio,utterance_idx,reference_text,jaccard_instability,spearman_stability,wer_original,wer_compressed,transcription_original,transcription_compressed
0.9,0,"okufaka phakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda adliwa abantu, u-ppm is equals to amaparts per million, ayikho imihlahlandlela ye-fda ekhona ye-zearalenone.",0.0,1.0,0.5909090909090909,0.5909090909090909,s okufakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda ahlewa abantu uppm isikwasithu amapatsi p emilyon ayikho imihlahlandlela yefda ekhona yezeralonone,s okufakathi izinkomo ezikhiqiza ubisi nezikhukhukazi ezizalela amaqanda ahlewa abantu uppm isikwasithu amapatsi p emilyon ayikho imihlahlandlela yefda ekhona yezeralonone
0.9,1,kanti-ke onke lamadokhumenti ayingxenye yenkontileka yokuqashwa kwabasebenzi.,0.0,1.0,0.8571428571428571,0.8571428571428571,kanti onkelamadokhumende ayingxenye kontileka yokuchashwa kwabasebenzi,kanti onkelamadokhumende ayingxenye kontileka yokuchashwa kwabasebenzi
0.9,2,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha ama-combine eqala ukugijima ehla enyuka emasimini ngesikhathi sokuvuna.,0.0,1.0,0.375,0.375,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha amakhombayini eqalukugijima ehla enyuke emasimini ngesikhathisokuvuna,ngeshwa lamafama imidumba ivame ukuvuleka ngesikhathi esifanayo lapha amakhombayini eqalukugijima ehla enyuke emasimini ngesikhathisokuvuna
0.9,3,ukuba ngcono kokuncintisana ngokuthunyelwa kwamanye amazwe kwakamuva e-eu kulindeleke ukuba kwenyuke kule ngxenye esele yonyaka wezimakethe.,0.0,1.0,0.9375,0.9375,ukubangcono kokucintisana ngokuthunyelwe kamanyi amazwe kwakumuva eyuikulindeleka ukubakwenyuke kulexenye eseleyonyaka bezimakethe,ukubangcono kokucintisana ngokuthunyelwe kamanyi amazwe kwakumuva eyuikulindeleka ukubakwenyuke kulexenye eseleyonyaka bezimakethe
0.9,4,njengomphathi wepulazi kudingeka ubheke okunye okungaba ama-incentives abasebenzi bakho. isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlwini lwezinto ezikhuthazayo ezingewona ukheshi. ungabanika isikhathi esengeziwe soku-ofa emva kokusebenza kanzima betshala noma bevuna izilimo?,0.0,1.0,0.4375,0.4375,njengomphathi wepulazi kudingeka ubheke okunye okungaba amainitinsitivs abasebenzibako isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlulezinto ezikhuthazayo ezingewona ukhesha ungabanika isikhathi esengeziwe sokuofa emvakokusebenza kanzimabetshala nomabewuna,njengomphathi wepulazi kudingeka ubheke okunye okungaba amainitinsitivs abasebenzibako isikhathi sokubhekana nezimo eziqondene nomuntu yiphuzu eliphezulu ohlulezinto ezikhuthazayo ezingewona ukhesha ungabanika isikhathi esengeziwe sokuofa emvakokusebenza kanzimabetshala nomabewuna
0.9,5,"abalimi abalima kancane bavuna ngesandla futhi bayakwazi ukusotha, ukusefa nokuhlanza izilimo zabo ngokucophelela ngaphambi kokuzibeka ngesandla kanti laba abasebenzisa imishini yesimanje ama-combayini bayakwazi ukukhiqiza amasampuli ahlanzekile angadilivwa ku-silo edayisayo ukuze zihlanzisiswe futhi, zomiswe uma kunesidingo, zihlukaniswe ngezigaba bese ziyalondolozwa.",0.0,1.0,0.5384615384615384,0.5384615384615384,s abalimi abalima kancane bavuna ngesandlafuthi bayakwazi ukusotha ukusefa nokuhlanza izimilo zabo ngokucophelela ngaphambi kokuzibeka ngesandla ganti laba abasebenzisa emishini yesimanje amakhombayini bayakwazi kukhiqiza amasampuli ahlanzekile angadilivwa kusilo s edayisayo,s abalimi abalima kancane bavuna ngesandlafuthi bayakwazi ukusotha ukusefa nokuhlanza izimilo zabo ngokucophelela ngaphambi kokuzibeka ngesandla ganti laba abasebenzisa emishini yesimanje amakhombayini bayakwazi kukhiqiza amasampuli ahlanzekile angadilivwa kusilo s edayisayo
0.9,6,omakhelwane kufanele basebenze ngokubambisana ekushiseni indawo ebabelwayo agudle imincele abayihlanganyele. kufanele baqiniseke ngokuba ngokuba nosizo olwanele. kubalulekile ukuthi umlilo olawulwe ngokucophelela futhi ucishwe. loyo muntu kufanele anqume ukuthi ngabe isimo sifanele.,0.0,1.0,0.41935483870967744,0.41935483870967744,omakhelwane kufanele basebenze ngokubambisana ekushiseni indawo ebabelwayo agudle imincele abayihlanganyela kufanele baqiniseke ngokuba s nosizo olwanele kubalulekile ukuthumlilo olawulwe ngokucopholele futhu uqishwe luyomuntu kufanele anqume ukuthingabe isimo sifanele,omakhelwane kufanele basebenze ngokubambisana ekushiseni indawo ebabelwayo agudle imincele abayihlanganyela kufanele baqiniseke ngokuba s nosizo olwanele kubalulekile ukuthumlilo olawulwe ngokucopholele futhu uqishwe luyomuntu kufanele anqume ukuthingabe isimo sifanele
0.9,7,"ngaphezu, okunenkanyezi njengemuntfu losemusha kanye elton john e umculo video of elton ngokwakhe,""",0.0,1.0,0.6923076923076923,0.6923076923076923,s ngaphezu okunenkanyezinjengomuntu lusemushaqenyelton john emiculo video of elton ngokwakhe,s ngaphezu okunenkanyezinjengomuntu lusemushaqenyelton john emiculo video of elton ngokwakhe
0.9,8,"usibusiso joel ""s'bu"" ndebele, owazalwa ngomhlaka 17 okthoba 1948, wayengungqongqoshe wezokuhlunyeleliswa kwezimilo owasebenza kusukela ngonyaka wezi-2012 kuya kowezi-2014.",0.0,1.0,1.0,1.0,usubuseso jowels bundebele wezalangunhlaka sevente oktober 1948 wayongqongqoshe uzokuhlunyeleliswa kwezinilo awasebenza kusulangonyaka s 2012 kuyake 2014,usubuseso jowels bundebele wezalangunhlaka sevente oktober 1948 wayongqongqoshe uzokuhlunyeleliswa kwezinilo awasebenza kusulangonyaka s 2012 kuyake 2014
0.9,9,"ukuqala kwakhe kwahlehliswa, kwakhona ngo-agasti 12, ngokubambisana ne-fc dallas, efika esikhundleni. wasiza leli qembu ukuba lifinyelele kuma-mls playoffs ngenkathi yabo yokuqala, lapho kwehluka izikhathi ezingu-18.",0.0,1.0,0.76,0.76,ukukala kwakhe kwahlehleswa kwakhukhona ngokakastithofu ngokubambisana nifcdolars efika esikhundleni wasiza leliqembu ukubalifinyelekuma mls playoff s ngenkathi yabo yokuqala zaphokwehluka izikhathi ezingu 18,ukukala kwakhe kwahlehleswa kwakhukhona ngokakastithofu ngokubambisana nifcdolars efika esikhundleni wasiza leliqembu ukubalifinyelekuma mls playoff s ngenkathi yabo yokuqala zaphokwehluka izikhathi ezingu 18
